run_name,model_name,dataset,shape_mode,k,f,fan_out_list_hit,fan_out_list_miss,batch_size,temperature,numseqs,output_len,official_end_to_end_throughput,metrics_decode_throughput,metrics_avg_accepted_suffix_lens_with_recovery,metrics_avg_accepted_suffix_lens_on_hit,metrics_avg_accepted_suffix_lens_on_miss,metrics_avg_cache_hits,metrics_avg_target_verify_time_ms,metrics_decode_tokens_per_target_verify_second,metrics_accepted_suffix_tokens_per_target_verify_second,metrics_spec_steps
async_qwen8b_k4_f1_n4_o64_off0,Qwen3-8B,gsm,async_ssd,4,1,,,1,0.0,4,64,30.610917719592848,36.06652960346318,2.901098901098901,3.4150943396226414,2.1842105263157894,0.5824175824175825,64.54804449618517,44.9447992381916,44.9447992381916,91
async_qwen8b_k4_f1_n4_o64_off4,Qwen3-8B,gsm,async_ssd,4,1,,,1,0.0,4,64,30.102127209824847,35.694916933839885,2.901098901098901,3.4150943396226414,2.1842105263157894,0.5824175824175825,64.8983392485796,44.7022055523924,44.7022055523924,91
async_qwen8b_k4_f1_n4_o64_off8,Qwen3-8B,gsm,async_ssd,4,1,,,1,0.0,4,64,30.329147092978193,35.665362707113225,2.901098901098901,3.4150943396226414,2.1842105263157894,0.5824175824175825,64.57187514240434,44.92821208461004,44.92821208461004,91
async_qwen8b_k4_f2_n4_o64_off0,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,4,64,31.158225240673186,36.95398021325069,2.901098901098901,3.3278688524590163,2.033333333333333,0.6703296703296703,64.52038186694404,44.96406898337395,44.96406898337395,91
async_qwen8b_k4_f2_n4_o64_off4,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,4,64,31.19534088697767,36.90085802128897,2.901098901098901,3.3278688524590163,2.033333333333333,0.6703296703296703,64.57246958718196,44.9277984820142,44.9277984820142,91
async_qwen8b_k4_f2_n4_o64_off8,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,4,64,31.45515708407609,37.14682600976608,2.901098901098901,3.3278688524590163,2.033333333333333,0.6703296703296703,64.54685605693977,44.94562676359802,44.94562676359802,91
async_qwen8b_k4_f4_n4_o64_off0,Qwen3-8B,gsm,async_ssd,4,4,,,1,0.0,4,64,31.433140023783103,37.65702968166505,2.869565217391304,3.142857142857143,2.0,0.7608695652173914,64.76841887216206,44.30500647321908,44.30500647321908,92
async_qwen8b_k4_f4_n4_o64_off4,Qwen3-8B,gsm,async_ssd,4,4,,,1,0.0,4,64,31.470587387049406,37.56981661178217,2.869565217391304,3.142857142857143,2.0,0.7608695652173914,64.76137877705142,44.30982279222492,44.30982279222492,92
async_qwen8b_k4_f4_n4_o64_off8,Qwen3-8B,gsm,async_ssd,4,4,,,1,0.0,4,64,31.360868604685262,37.69807914841245,2.869565217391304,3.142857142857143,2.0,0.7608695652173914,64.68023922618316,44.36540822547975,44.36540822547975,92
async_qwen8b_k6_f1_n4_o64_off0,Qwen3-8B,gsm,async_ssd,6,1,,,1,0.0,4,64,31.616993055162332,38.33191071118075,3.3048780487804876,4.0,2.4594594594594597,0.5487804878048781,64.67936450342943,51.09632839087738,51.09632839087738,82
async_qwen8b_k6_f1_n4_o64_off4,Qwen3-8B,gsm,async_ssd,6,1,,,1,0.0,4,64,31.099633005606115,38.00684844211638,3.3048780487804876,4.0,2.4594594594594597,0.5487804878048781,64.74300295046372,51.046103797643156,51.046103797643156,82
async_qwen8b_k6_f1_n4_o64_off8,Qwen3-8B,gsm,async_ssd,6,1,,,1,0.0,4,64,31.439527412943907,38.11598287304783,3.3048780487804876,4.0,2.4594594594594597,0.5487804878048781,64.69972410648153,51.080249482074834,51.080249482074834,82
