fanout_budget,metric,best_k,best_value
16,decode_throughput_mean,6,69.955397
16,official_throughput_mean,6,50.743353
16,suffix_per_verify_sec_mean,10,108.613214
16,decode_tokens_per_verify_sec_mean,10,108.613214
16,avg_suffix_mean,10,3.697932
16,cache_hit_mean,2,0.815747
16,verify_ms_mean,10,34.045440
24,decode_throughput_mean,6,73.423203
24,official_throughput_mean,6,53.025589
24,suffix_per_verify_sec_mean,10,109.088801
24,decode_tokens_per_verify_sec_mean,10,109.088801
24,avg_suffix_mean,10,3.717175
24,cache_hit_mean,2,0.857282
24,verify_ms_mean,10,34.083648
36,decode_throughput_mean,6,73.170541
36,official_throughput_mean,4,50.748293
36,suffix_per_verify_sec_mean,10,109.050869
36,decode_tokens_per_verify_sec_mean,10,109.050869
36,avg_suffix_mean,10,3.718212
36,cache_hit_mean,2,0.886380
36,verify_ms_mean,10,34.077346
