run_name,model_name,dataset,shape_mode,k,f,fanout_budget,fan_out_list_hit,fan_out_list_miss,batch_size,temperature,numseqs,output_len,official_end_to_end_throughput,metrics_decode_throughput,metrics_avg_accepted_suffix_lens_with_recovery,metrics_avg_accepted_suffix_lens_on_hit,metrics_avg_accepted_suffix_lens_on_miss,metrics_avg_cache_hits,metrics_avg_target_verify_time_ms,metrics_decode_tokens_per_target_verify_second,metrics_accepted_suffix_tokens_per_target_verify_second,metrics_spec_steps
geom_qwen8b_B16_k2_a0.8_r0.8_n4_o64_off0,Qwen3-8B,alpaca,async_ssd,2,1,16,"[4, 4, 8]","[4, 4, 8]",1,0.0,4,64,37.12102982593311,49.43103438342568,2.3035714285714284,2.351063829787234,2.0555555555555554,0.8392857142857143,31.76686926079648,72.51490254389871,72.51490254389871,112
geom_qwen8b_B16_k2_a0.8_r0.8_n4_o64_off4,Qwen3-8B,alpaca,async_ssd,2,1,16,"[4, 4, 8]","[4, 4, 8]",1,0.0,4,64,40.852408360549454,52.657469372396385,2.2033898305084745,2.2688172043010755,1.96,0.788135593220339,31.32062054917974,70.34949473777841,70.34949473777841,118
geom_qwen8b_B16_k2_a0.8_r0.8_n4_o64_off8,Qwen3-8B,alpaca,async_ssd,2,1,16,"[4, 4, 8]","[4, 4, 8]",1,0.0,4,64,40.593775833243924,54.87452216708637,2.3423423423423424,2.3076923076923075,2.5,0.8198198198198198,31.321537018090755,74.78376112224147,74.78376112224147,111
geom_qwen8b_B24_k2_a0.8_r0.8_n4_o64_off0,Qwen3-8B,alpaca,async_ssd,2,1,24,"[6, 6, 12]","[6, 6, 12]",1,0.0,4,64,45.367662292507646,56.11734600619178,2.3035714285714284,2.336734693877551,2.0714285714285716,0.875,31.405687465199403,73.34886176664698,73.34886176664698,112
geom_qwen8b_B24_k2_a0.8_r0.8_n4_o64_off4,Qwen3-8B,alpaca,async_ssd,2,1,24,"[6, 6, 12]","[6, 6, 12]",1,0.0,4,64,41.906934556695994,54.46797369306174,2.1666666666666665,2.1862745098039214,2.0555555555555554,0.85,31.211437409122784,69.4189965769847,69.4189965769847,120
geom_qwen8b_B24_k2_a0.8_r0.8_n4_o64_off8,Qwen3-8B,alpaca,async_ssd,2,1,24,"[6, 6, 12]","[6, 6, 12]",1,0.0,4,64,45.73156620530991,58.50451747672031,2.3423423423423424,2.3297872340425534,2.411764705882353,0.8468468468468469,31.093714070749712,75.33170006685744,75.33170006685744,111
geom_qwen8b_B36_k2_a0.8_r0.8_n4_o64_off0,Qwen3-8B,alpaca,async_ssd,2,1,36,"[10, 8, 18]","[10, 8, 18]",1,0.0,4,64,47.168871953603485,57.389808839074554,2.3035714285714284,2.3366336633663365,2.0,0.9017857142857143,31.211396646020667,73.80545813752057,73.80545813752057,112
geom_qwen8b_B36_k2_a0.8_r0.8_n4_o64_off4,Qwen3-8B,alpaca,async_ssd,2,1,36,"[10, 8, 18]","[10, 8, 18]",1,0.0,4,64,41.975897617670334,52.881389815950286,2.1848739495798317,2.2095238095238097,2.0,0.8823529411764706,31.227665726377182,69.96597083893872,69.96597083893872,119
geom_qwen8b_B36_k2_a0.8_r0.8_n4_o64_off8,Qwen3-8B,alpaca,async_ssd,2,1,36,"[10, 8, 18]","[10, 8, 18]",1,0.0,4,64,42.5245718252913,58.700511074185165,2.3214285714285716,2.326530612244898,2.2857142857142856,0.875,31.08257900125214,74.68584158782494,74.68584158782494,112
geom_qwen8b_B16_k4_a0.8_r0.8_n4_o64_off0,Qwen3-8B,alpaca,async_ssd,4,1,16,"[3, 3, 3, 2, 5]","[3, 3, 3, 2, 5]",1,0.0,4,64,46.89647258971478,67.4485642226853,3.0697674418604652,3.19672131147541,2.76,0.7093023255813954,31.860982825936272,96.34879936476838,96.34879936476838,86
