alpha,r,a,b,t_v,t_b,e_miss,l_hit,num_valid_k,is_unimodal,best_k,best_mu,first_valid_k,last_valid_k,invalid_reasons,enough_valid,valid_unimodal
0.5,0.3,0.05,0.01,10.0,0.5,1.0,1.0,8,True,3,1.4636779465734862,1,8,fanout,True,True
0.5,0.3,0.05,0.01,10.0,1.0,1.0,1.0,8,True,3,1.3145216080626325,1,8,fanout,True,True
0.5,0.3,0.05,0.01,10.0,2.0,1.0,1.0,8,True,2,1.1146634201881793,1,8,fanout,True,True
0.5,0.3,0.05,0.01,20.0,0.5,1.0,1.0,9,True,4,1.5380505565272335,1,9,fanout,True,True
0.5,0.3,0.05,0.01,20.0,1.0,1.0,1.0,9,True,3,1.402527997276565,1,9,fanout,True,True
0.5,0.3,0.05,0.01,20.0,2.0,1.0,1.0,9,True,2,1.2038693630404012,1,9,fanout,True,True
0.5,0.3,0.05,0.01,40.0,0.5,1.0,1.0,10,True,4,1.6069923285285554,1,10,fanout,True,True
0.5,0.3,0.05,0.01,40.0,1.0,1.0,1.0,10,True,3,1.478825691463388,1,10,fanout,True,True
0.5,0.3,0.05,0.01,40.0,2.0,1.0,1.0,10,True,3,1.2926081814633799,1,10,fanout,True,True
0.5,0.3,0.05,0.01,80.0,0.5,1.0,1.0,11,True,5,1.6660504710603112,1,11,fanout,True,True
0.5,0.3,0.05,0.01,80.0,1.0,1.0,1.0,11,True,4,1.5536606313152643,1,11,fanout,True,True
0.5,0.3,0.05,0.01,80.0,2.0,1.0,1.0,11,True,3,1.3786933375110866,1,11,fanout,True,True
0.5,0.3,0.05,0.02,10.0,0.5,1.0,1.0,7,True,3,1.3815452508686568,1,7,fanout,True,True
0.5,0.3,0.05,0.02,10.0,1.0,1.0,1.0,7,True,2,1.2301360134299568,1,7,fanout,True,True
0.5,0.3,0.05,0.02,10.0,2.0,1.0,1.0,7,True,2,1.0183703793454149,1,7,fanout,True,True
0.5,0.3,0.05,0.02,20.0,0.5,1.0,1.0,8,True,3,1.4645070188971754,1,8,fanout,True,True
0.5,0.3,0.05,0.02,20.0,1.0,1.0,1.0,8,True,3,1.3155364086524703,1,8,fanout,True,True
0.5,0.3,0.05,0.02,20.0,2.0,1.0,1.0,8,True,2,1.1153363391062305,1,8,fanout,True,True
0.5,0.3,0.05,0.02,40.0,0.5,1.0,1.0,9,True,4,1.5385906848279993,1,9,fanout,True,True
0.5,0.3,0.05,0.02,40.0,1.0,1.0,1.0,9,True,3,1.4029705333491314,1,9,fanout,True,True
0.5,0.3,0.05,0.02,40.0,2.0,1.0,1.0,9,True,2,1.2041747830594938,1,9,fanout,True,True
0.5,0.3,0.05,0.02,80.0,0.5,1.0,1.0,10,True,4,1.607219501955303,1,10,fanout,True,True
0.5,0.3,0.05,0.02,80.0,1.0,1.0,1.0,10,True,4,1.479084965784852,1,10,fanout,True,True
0.5,0.3,0.05,0.02,80.0,2.0,1.0,1.0,10,True,3,1.2928539304934936,1,10,fanout,True,True
0.5,0.3,0.05,0.05,10.0,0.5,1.0,1.0,5,True,2,1.2711431746195407,1,5,fanout,True,True
0.5,0.3,0.05,0.05,10.0,1.0,1.0,1.0,5,True,2,1.1079039799528896,1,5,fanout,True,True
0.5,0.3,0.05,0.05,10.0,2.0,1.0,1.0,5,True,1,0.9142347272109163,1,5,fanout,True,True
0.5,0.3,0.05,0.05,20.0,0.5,1.0,1.0,6,True,3,1.353324387932062,1,6,fanout,True,True
0.5,0.3,0.05,0.05,20.0,1.0,1.0,1.0,6,True,2,1.2026789091434278,1,6,fanout,True,True
0.5,0.3,0.05,0.05,20.0,2.0,1.0,1.0,6,True,1,0.9925767613868504,1,6,fanout,True,True
0.5,0.3,0.05,0.05,40.0,0.5,1.0,1.0,7,True,3,1.4399343807178149,1,7,fanout,True,True
0.5,0.3,0.05,0.05,40.0,1.0,1.0,1.0,7,True,2,1.286665091262228,1,7,fanout,True,True
0.5,0.3,0.05,0.05,40.0,2.0,1.0,1.0,7,True,2,1.0854874076739787,1,7,fanout,True,True
0.5,0.3,0.05,0.05,80.0,0.5,1.0,1.0,9,True,4,1.5143232656590615,1,9,fanout,True,True
0.5,0.3,0.05,0.05,80.0,1.0,1.0,1.0,9,True,3,1.376447538781363,1,9,fanout,True,True
0.5,0.3,0.05,0.05,80.0,2.0,1.0,1.0,9,True,2,1.1767394706736907,1,9,fanout,True,True
0.5,0.3,0.05,0.1,10.0,0.5,1.0,1.0,4,True,2,1.1798748181339227,1,4,fanout,True,True
0.5,0.3,0.05,0.1,10.0,1.0,1.0,1.0,4,True,1,1.027049915181099,1,4,fanout,True,True
0.5,0.3,0.05,0.1,10.0,2.0,1.0,1.0,4,True,1,0.8306272912551019,1,4,fanout,True,True
0.5,0.3,0.05,0.1,20.0,0.5,1.0,1.0,5,True,2,1.271759927878963,1,5,fanout,True,True
0.5,0.3,0.05,0.1,20.0,1.0,1.0,1.0,5,True,2,1.1086248969088504,1,5,fanout,True,True
0.5,0.3,0.05,0.1,20.0,2.0,1.0,1.0,5,True,1,0.9145280631156737,1,5,fanout,True,True
0.5,0.3,0.05,0.1,40.0,0.5,1.0,1.0,6,True,3,1.3538294532693325,1,6,fanout,True,True
0.5,0.3,0.05,0.1,40.0,1.0,1.0,1.0,6,True,2,1.203000670779297,1,6,fanout,True,True
0.5,0.3,0.05,0.1,40.0,2.0,1.0,1.0,6,True,1,0.9927121143122032,1,6,fanout,True,True
0.5,0.3,0.05,0.1,80.0,0.5,1.0,1.0,7,True,3,1.4401502949363896,1,7,fanout,True,True
0.5,0.3,0.05,0.1,80.0,1.0,1.0,1.0,7,True,2,1.2868068891230644,1,7,fanout,True,True
0.5,0.3,0.05,0.1,80.0,2.0,1.0,1.0,7,True,2,1.0856589842217905,1,7,fanout,True,True
