alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.0038445,14,19.61302,0.09437,False,7,7,4,4,1.7987038335010737,1.2098769159836056,1.5110313493845944,0.3011544334009888,0.16250506644309243,1.8311395134151112,1.8311395134151112,2.1287089617092056,2.1287089617092056,94.0,94.0,640.0,640.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.005126,14,19.61302,0.09437,False,7,7,4,4,1.7987038335010737,1.1544027385337938,1.4961687132714148,0.34176597473762094,0.18635192273965934,1.8311395134151112,1.7323247291734303,2.1287089617092056,2.0973046882576583,94.0,70.0,640.0,480.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.007689,14,19.61302,0.09437,False,7,7,4,4,1.7987038335010737,1.0625599487700004,1.4704681638621437,0.40790821509214337,0.2262418769160449,1.8311395134151112,1.580310727658452,2.1287089617092056,2.044089563559407,94.0,47.0,640.0,320.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.0115335,14,19.61302,0.09437,False,7,7,4,4,1.7987038335010737,0.9404856790176739,1.4377568180914189,0.497271139073745,0.28227464796648416,1.8311395134151112,1.3987055769395784,2.1287089617092056,1.9783064361072598,94.0,31.0,640.0,213.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.015378,14,19.61302,0.09437,False,7,7,4,3,1.7987038335010737,-inf,1.4140348823553632,nan,nan,1.8311395134151112,nan,2.127755798714186,1.9327948683183285,94.0,23.0,634.0,268.0,0,1,False,False,fanout
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.023067,14,19.61302,0.09437,False,7,7,4,3,1.7987038335010737,-inf,1.3821801786873185,nan,nan,1.8311395134151112,nan,2.127755798714186,1.8721965553063462,94.0,15.0,634.0,179.0,0,1,False,False,fanout
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.030756,14,19.61302,0.09437,False,7,7,4,3,1.7987038335010737,-inf,1.354270080025267,nan,nan,1.8311395134151112,nan,2.127755798714186,1.820665823681446,94.0,11.0,634.0,134.0,0,1,False,False,fanout
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,14,19.61302,0.09437,False,7,7,4,2,1.7987038335010737,-inf,1.270812569022508,nan,nan,1.8311395134151112,nan,2.1267886338521755,1.675647085937372,94.0,5.0,628.0,121.0,0,1,False,False,fanout
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,14,19.61302,0.09437,False,7,7,4,2,1.7987038335010737,-inf,1.2491485190152953,nan,nan,1.8311395134151112,nan,2.1267886338521755,1.6397361760448483,94.0,4.0,628.0,97.0,0,1,False,False,fanout
0.6,0.6,0.6,0.6,2.628523,2.628523,0.005126,0.0038445,14,19.61302,0.09437,False,7,7,4,4,1.7987038335010737,1.1544027385337938,1.4961687132714148,0.34176597473762094,0.18635192273965934,1.7323247291734303,1.8311395134151112,2.0973046882576583,2.1287089617092056,70.0,94.0,480.0,640.0,0,0,False,True,
