alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.7,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,5,3,2.23483568808199,1.3280245054342534,1.7092459331529266,0.3812214277186732,0.20998832869962042,2.3989711822434314,1.5729998583929514,2.5771361627798264,2.143772580743598,1082.0,18.0,375.0,54.0,-1,1,True,True,
0.8,0.7,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,5,2.23483568808199,1.3280245054342534,1.7092459331529266,0.3812214277186732,0.20998832869962042,1.5729998583929514,2.3989711822434314,2.143772580743598,2.5771361627798264,18.0,1082.0,54.0,375.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,5,3,2.0434967884924595,1.1532311680133525,1.5283559024072835,0.375124734393931,0.20630548096649803,2.2251629457753332,1.4239020436048027,2.32875288467856,1.9798538339623184,1082.0,18.0,375.0,54.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,5,2.0434967884924595,1.1532311680133525,1.5283559024072835,0.375124734393931,0.20630548096649803,1.4239020436048027,2.2251629457753332,1.9798538339623184,2.32875288467856,18.0,1082.0,54.0,375.0,1,-1,True,True,
0.75,0.85,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,5,3,2.4295740934745886,1.535119039250107,1.9032788789187256,0.36815983966861854,0.20211189184056838,2.588988389997563,1.7929312007284866,2.8692424937405754,2.3378479423570604,1082.0,18.0,375.0,54.0,-1,1,True,True,
0.85,0.75,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,5,2.4295740934745886,1.535119039250107,1.9032788789187256,0.36815983966861854,0.20211189184056838,1.7929312007284866,2.588988389997563,2.3378479423570604,2.8692424937405754,18.0,1082.0,54.0,375.0,1,-1,True,True,
0.7,0.8,0.6,0.6,2.628523,2.628523,0.005126,0.07689,8,19.61302,0.09437,False,3,5,5,3,2.23483568808199,1.3178332206658325,1.6845762414752632,0.36674302080943066,0.2012606060060188,2.3746467429500786,1.5729998583929514,2.5143368134339785,2.143772580743598,811.0,18.0,281.0,54.0,-1,1,True,True,
0.8,0.7,0.6,0.6,2.628523,2.628523,0.07689,0.005126,8,19.61302,0.09437,False,5,3,3,5,2.23483568808199,1.3178332206658325,1.6845762414752632,0.36674302080943066,0.2012606060060188,1.5729998583929514,2.3746467429500786,2.143772580743598,2.5143368134339785,18.0,811.0,54.0,281.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.005126,0.07689,8,19.61302,0.09437,False,3,5,4,3,2.0434967884924595,1.1432346312945798,1.5062259743456958,0.362991343051116,0.19900934681716823,2.2030298342283343,1.4239020436048027,2.2859347146797724,1.972794307909477,811.0,18.0,475.0,53.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.07689,0.005126,8,19.61302,0.09437,False,5,3,3,4,2.0434967884924595,1.1432346312945798,1.5062259743456958,0.362991343051116,0.19900934681716823,1.4239020436048027,2.2030298342283343,1.972794307909477,2.2859347146797724,18.0,811.0,53.0,475.0,1,-1,True,True,
0.6,0.7,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,4,3,1.856295790363206,1.0015198272566659,1.3606031101720106,0.35908328291534475,0.196668734060414,2.066209133448274,1.317589901350582,2.127755798714186,1.8322327433958219,1082.0,18.0,634.0,53.0,-1,1,True,True,
0.7,0.6,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,4,1.856295790363206,1.0015198272566659,1.3606031101720106,0.35908328291534475,0.196668734060414,1.317589901350582,2.066209133448274,1.8322327433958219,2.127755798714186,18.0,1082.0,53.0,634.0,1,-1,True,True,
0.735,0.85,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,5,3,2.4066071259590753,1.512146227875824,1.8704137766219437,0.35826754874611977,0.19618075179532263,2.530190015923355,1.7929312007284866,2.7764772646502527,2.3378479423570604,1082.0,18.0,375.0,54.0,-1,1,True,True,
0.85,0.735,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,5,2.4066071259590753,1.512146227875824,1.8704137766219437,0.35826754874611977,0.19618075179532263,1.7929312007284866,2.530190015923355,2.3378479423570604,2.7764772646502527,18.0,1082.0,54.0,375.0,1,-1,True,True,
0.6,0.735,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,4,3,1.9339411534922428,1.0538711823643878,1.4118047138975145,0.3579335315331267,0.19598099599578048,2.066209133448274,1.3884049781543946,2.127755798714186,1.9284892131202882,1082.0,18.0,634.0,53.0,-1,1,True,True,
0.735,0.6,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,4,1.9339411534922428,1.0538711823643878,1.4118047138975145,0.3579335315331267,0.19598099599578048,1.3884049781543946,2.066209133448274,1.9284892131202882,2.127755798714186,18.0,1082.0,53.0,634.0,1,-1,True,True,
0.6,0.75,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,4,3,1.9677939425553177,1.0791166128523517,1.4345187767897039,0.35540216393735213,0.1944682197766927,2.066209133448274,1.4239020436048027,2.127755798714186,1.972794307909477,1082.0,18.0,634.0,53.0,-1,1,True,True,
