alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.5,0.75,0.8,0.8,0.1,0.1,0.01,0.1,10,10.0,1.0,False,3,7,6,4,1.9094170358590155,1.285127913953982,1.4935607112121512,0.2084327972581692,0.10984059691512055,1.8326479946114869,1.972626693118665,1.8846529925201025,2.362728265669129,656.0,27.0,323.0,49.0,-1,1,True,True,
0.75,0.5,0.8,0.8,0.1,0.1,0.1,0.01,10,10.0,1.0,False,7,3,4,6,1.9094170358590155,1.285127913953982,1.4935607112121512,0.2084327972581692,0.10984059691512055,1.972626693118665,1.8326479946114869,2.362728265669129,1.8846529925201025,27.0,656.0,49.0,323.0,1,-1,True,True,
0.55,0.8,0.8,0.8,0.1,0.1,0.01,0.1,10,10.0,1.0,False,3,7,6,4,2.1283293085145445,1.4763290960139002,1.683988881534845,0.20765978552094477,0.10941171989826977,1.97076293260724,2.22089074700722,2.0669702043058558,2.6062307381127434,656.0,27.0,323.0,49.0,-1,1,True,True,
0.8,0.55,0.8,0.8,0.1,0.1,0.1,0.01,10,10.0,1.0,False,7,3,4,6,2.1283293085145445,1.4763290960139002,1.683988881534845,0.20765978552094477,0.10941171989826977,2.22089074700722,1.97076293260724,2.6062307381127434,2.0669702043058558,27.0,656.0,49.0,323.0,1,-1,True,True,
0.6,0.85,0.8,0.8,0.1,0.1,0.01,0.1,10,10.0,1.0,False,3,7,6,4,2.356480057859565,1.7017235139400038,1.890482401195508,0.18875888725550416,0.09897666650639511,2.121880788858512,2.584212072614864,2.282596126293539,2.9013291341580922,656.0,27.0,323.0,49.0,-1,1,True,True,
0.85,0.6,0.8,0.8,0.1,0.1,0.1,0.01,10,10.0,1.0,False,7,3,4,6,2.356480057859565,1.7017235139400038,1.890482401195508,0.18875888725550416,0.09897666650639511,2.584212072614864,2.121880788858512,2.9013291341580922,2.282596126293539,27.0,656.0,49.0,323.0,1,-1,True,True,
0.5,0.8,0.8,0.8,0.1,0.1,0.01,0.1,10,10.0,1.0,False,3,7,6,4,2.0543975423603786,1.4036702653614066,1.591648730990269,0.18797846562886233,0.09854791758421004,1.8326479946114869,2.22089074700722,1.8846529925201025,2.6062307381127434,656.0,27.0,323.0,49.0,-1,1,True,True,
0.8,0.5,0.8,0.8,0.1,0.1,0.1,0.01,10,10.0,1.0,False,7,3,4,6,2.0543975423603786,1.4036702653614066,1.591648730990269,0.18797846562886233,0.09854791758421004,2.22089074700722,1.8326479946114869,2.6062307381127434,1.8846529925201025,27.0,656.0,49.0,323.0,1,-1,True,True,
0.5,0.75,0.8,0.8,0.1,0.1,0.02,0.1,10,10.0,1.0,False,3,7,6,4,1.9094170358590155,1.2683147683443385,1.455665229745055,0.18735046140071643,0.09820302536695462,1.8020929995922343,1.972626693118665,1.814569471216466,2.362728265669129,328.0,27.0,161.0,49.0,-1,1,True,True,
0.75,0.5,0.8,0.8,0.1,0.1,0.1,0.02,10,10.0,1.0,False,7,3,4,6,1.9094170358590155,1.2683147683443385,1.455665229745055,0.18735046140071643,0.09820302536695462,1.972626693118665,1.8020929995922343,2.362728265669129,1.814569471216466,27.0,328.0,49.0,161.0,1,-1,True,True,
