alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.5,0.5,0.8,0.8,0.1,0.1,0.01,0.01,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2703370620385404,1.2703370620385404,0.0,0.0,1.8873401900233948,1.8873401900233948,1.8873401900233948,1.8873401900233948,390.0,390.0,390.0,390.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.01,0.02,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2394079549595702,1.2394079549595702,0.0,0.0,1.8873401900233948,1.8298599318298372,1.8873401900233948,1.8298599318298372,390.0,195.0,390.0,195.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.01,0.05,10,10.0,1.0,False,5,5,6,4,1.3547976471836123,1.162100744587215,1.1786255776805186,0.01652483309330366,0.008296644513878366,1.8873401900233948,1.6937283335565871,1.8846529925201025,1.7244046536184965,390.0,78.0,323.0,98.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.01,0.1,10,10.0,1.0,False,5,5,7,3,1.3547976471836123,1.0545221983033204,1.1150272107969545,0.06050501249363416,0.030714763013750087,1.8873401900233948,1.5209781799010023,1.8751867163155262,1.6263186673401444,390.0,39.0,275.0,65.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.02,0.01,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2394079549595702,1.2394079549595702,0.0,0.0,1.8298599318298372,1.8873401900233948,1.8298599318298372,1.8873401900233948,195.0,390.0,195.0,390.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.02,0.02,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2084788478806001,1.2084788478806001,0.0,0.0,1.8298599318298372,1.8298599318298372,1.8298599318298372,1.8298599318298372,195.0,195.0,195.0,195.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.02,0.05,10,10.0,1.0,False,5,5,5,4,1.3547976471836123,1.1311716375082448,1.1411205469680148,0.009948909459770006,0.004986847870999863,1.8298599318298372,1.6937283335565871,1.8241796846478162,1.7159899576232136,195.0,78.0,185.0,93.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.02,0.1,10,10.0,1.0,False,5,5,6,3,1.3547976471836123,1.0235930912243503,1.0731435872642814,0.04955049603993111,0.0250847048150951,1.8298599318298372,1.5209781799010023,1.8079228929103834,1.6176346245262945,195.0,39.0,153.0,62.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.05,0.01,10,10.0,1.0,False,5,5,4,6,1.3547976471836123,1.162100744587215,1.1786255776805186,0.01652483309330366,0.008296644513878366,1.6937283335565871,1.8873401900233948,1.7244046536184965,1.8846529925201025,78.0,390.0,98.0,323.0,0,-1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.05,0.02,10,10.0,1.0,False,5,5,4,5,1.3547976471836123,1.1311716375082448,1.1411205469680148,0.009948909459770006,0.004986847870999863,1.6937283335565871,1.8298599318298372,1.7159899576232136,1.8241796846478162,78.0,195.0,93.0,185.0,0,-1,False,True,
