alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.65,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.023067,12,19.61302,0.09437,False,5,7,5,4,2.3971965086675704,1.0139142860707924,1.8050568465751673,0.7911425605043749,0.4852324325646271,2.3376759068659148,1.1791066228427436,2.331050134850811,2.6084025362618157,395.0,14.0,380.0,107.0,-1,1,True,True,
0.8,0.65,0.6,0.6,2.628523,2.628523,0.023067,0.0038445,12,19.61302,0.09437,False,7,5,4,5,2.3971965086675704,1.0139142860707924,1.8050568465751673,0.7911425605043749,0.4852324325646271,1.1791066228427436,2.3376759068659148,2.6084025362618157,2.331050134850811,14.0,395.0,107.0,380.0,1,-1,True,True,
0.7,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.023067,12,19.61302,0.09437,False,5,7,5,4,2.5045963443075143,1.1154494872132361,1.906451578705066,0.7910020914918299,0.48512812166118124,2.587500714601329,1.1791066228427436,2.5798044457108293,2.6084025362618157,395.0,14.0,380.0,107.0,-1,1,True,True,
0.8,0.7,0.6,0.6,2.628523,2.628523,0.023067,0.0038445,12,19.61302,0.09437,False,7,5,4,5,2.5045963443075143,1.1154494872132361,1.906451578705066,0.7910020914918299,0.48512812166118124,1.1791066228427436,2.587500714601329,2.6084025362618157,2.5798044457108293,14.0,395.0,107.0,380.0,1,-1,True,True,
0.735,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.023067,12,19.61302,0.09437,False,5,7,5,4,2.582241707436551,1.1900532997532542,1.9809814774675902,0.790928177714336,0.4850732369606042,2.7879212524005768,1.1791066228427436,2.7794234068626693,2.6084025362618157,395.0,14.0,380.0,107.0,-1,1,True,True,
0.8,0.735,0.6,0.6,2.628523,2.628523,0.023067,0.0038445,12,19.61302,0.09437,False,7,5,4,5,2.582241707436551,1.1900532997532542,1.9809814774675902,0.790928177714336,0.4850732369606042,1.1791066228427436,2.7879212524005768,2.6084025362618157,2.7794234068626693,14.0,395.0,107.0,380.0,1,-1,True,True,
0.7,0.8,0.6,0.6,2.628523,2.628523,0.005126,0.023067,12,19.61302,0.09437,False,5,7,5,4,2.5045963443075143,1.091526865433016,1.8820554300812131,0.7905285646481972,0.4847765392678287,2.5263354474302635,1.1791066228427436,2.517628661611217,2.6084025362618157,296.0,14.0,285.0,107.0,-1,1,True,True,
0.8,0.7,0.6,0.6,2.628523,2.628523,0.023067,0.005126,12,19.61302,0.09437,False,7,5,4,5,2.5045963443075143,1.091526865433016,1.8820554300812131,0.7905285646481972,0.4847765392678287,1.1791066228427436,2.5263354474302635,2.6084025362618157,2.517628661611217,14.0,296.0,107.0,285.0,1,-1,True,True,
0.735,0.8,0.6,0.6,2.628523,2.628523,0.005126,0.023067,12,19.61302,0.09437,False,5,7,5,4,2.582241707436551,1.1655326625608673,1.9559740807820973,0.79044141822123,0.4847118441922042,2.7203909731678113,1.1791066228427436,2.710779147581768,2.6084025362618157,296.0,14.0,285.0,107.0,-1,1,True,True,
0.8,0.735,0.6,0.6,2.628523,2.628523,0.023067,0.005126,12,19.61302,0.09437,False,7,5,4,5,2.582241707436551,1.1655326625608673,1.9559740807820973,0.79044141822123,0.4847118441922042,1.1791066228427436,2.7203909731678113,2.6084025362618157,2.710779147581768,14.0,296.0,107.0,285.0,1,-1,True,True,
