alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.0038445,12,19.61302,0.09437,False,6,6,4,4,1.7757956833858406,1.4272179067198902,1.5110313493845944,0.08381344266470414,0.042797203480212334,2.0413451000874296,2.0413451000874296,2.1287089617092056,2.1287089617092056,215.0,215.0,640.0,640.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.005126,12,19.61302,0.09437,False,6,6,4,4,1.7757956833858406,1.394858395284709,1.4961687132714148,0.10131031798670587,0.05196007175883165,2.0413451000874296,1.976345519180653,2.1287089617092056,2.0973046882576583,215.0,161.0,640.0,480.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.007689,12,19.61302,0.09437,False,6,6,4,4,1.7757956833858406,1.3388208940449835,1.4704681638621437,0.13164726981716024,0.06803833587579321,2.0413451000874296,1.8686419567229586,2.1287089617092056,2.044089563559407,215.0,107.0,640.0,320.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.0115335,12,19.61302,0.09437,False,6,6,4,4,1.7757956833858406,1.2674996208439757,1.4377568180914189,0.17025719724744315,0.08885708321757117,2.0413451000874296,1.7400096644350511,2.1287089617092056,1.9783064361072598,215.0,71.0,640.0,213.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.015378,12,19.61302,0.09437,False,6,6,4,3,1.7757956833858406,1.2052191606011233,1.4140348823553632,0.2088157217542399,0.11005310983421823,2.0413451000874296,1.6349467045969996,2.127755798714186,1.9327948683183285,215.0,53.0,634.0,268.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.023067,12,19.61302,0.09437,False,6,6,4,3,1.7757956833858406,1.0963496336700196,1.3821801786873185,0.2858305450172989,0.15363205317526954,2.0413451000874296,1.4662977408867879,2.127755798714186,1.8721965553063462,215.0,35.0,634.0,179.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.030756,12,19.61302,0.09437,False,6,6,4,3,1.7757956833858406,1.0000476029469374,1.354270080025267,0.35422247707832955,0.19376387829151687,2.0413451000874296,1.3316764664868157,2.127755798714186,1.820665823681446,215.0,26.0,634.0,134.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,12,19.61302,0.09437,False,6,6,4,2,1.7757956833858406,-inf,1.270812569022508,nan,nan,2.0413451000874296,nan,2.1267886338521755,1.675647085937372,215.0,13.0,628.0,121.0,0,1,False,False,fanout
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,12,19.61302,0.09437,False,6,6,4,2,1.7757956833858406,-inf,1.2491485190152953,nan,nan,2.0413451000874296,nan,2.1267886338521755,1.6397361760448483,215.0,10.0,628.0,97.0,0,1,False,False,fanout
0.6,0.6,0.6,0.6,2.628523,2.628523,0.005126,0.0038445,12,19.61302,0.09437,False,6,6,4,4,1.7757956833858406,1.394858395284709,1.4961687132714148,0.10131031798670587,0.05196007175883165,1.976345519180653,2.0413451000874296,2.0973046882576583,2.1287089617092056,161.0,215.0,480.0,640.0,0,0,False,True,
