alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.7,0.8,0.6,0.6,0.1,0.1,0.01,0.2,10,10.0,1.0,False,4,6,7,3,2.394041848285459,1.2555076986898233,1.608289230312183,0.3527815316223597,0.19290411372920477,2.5062880524645803,1.4003257718127338,2.6160605538933472,1.9090765614624543,490.0,16.0,275.0,32.0,-1,1,True,True,
0.8,0.7,0.6,0.6,0.1,0.1,0.2,0.01,10,10.0,1.0,False,6,4,3,7,2.394041848285459,1.2555076986898233,1.608289230312183,0.3527815316223597,0.19290411372920477,1.4003257718127338,2.5062880524645803,1.9090765614624543,2.6160605538933472,16.0,490.0,32.0,275.0,1,-1,True,True,
0.65,0.735,0.6,0.6,0.1,0.1,0.01,0.2,10,10.0,1.0,False,4,6,7,3,2.131353134222868,1.0475454889043607,1.3913066586167386,0.3437611697123779,0.18753601496244343,2.2901071123078354,1.244765176032695,2.333229309563939,1.7229766074926134,490.0,16.0,275.0,32.0,-1,1,True,True,
0.735,0.65,0.6,0.6,0.1,0.1,0.2,0.01,10,10.0,1.0,False,6,4,3,7,2.131353134222868,1.0475454889043607,1.3913066586167386,0.3437611697123779,0.18753601496244343,1.244765176032695,2.2901071123078354,1.7229766074926134,2.333229309563939,16.0,490.0,32.0,275.0,1,-1,True,True,
0.65,0.8,0.6,0.6,0.1,0.1,0.01,0.2,10,10.0,1.0,False,4,6,7,3,2.3005670517578816,1.165303494109915,1.493872927250342,0.32856943314042697,0.17854981999112735,2.2901071123078354,1.4003257718127338,2.333229309563939,1.9090765614624543,490.0,16.0,275.0,32.0,-1,1,True,True,
0.8,0.65,0.6,0.6,0.1,0.1,0.2,0.01,10,10.0,1.0,False,6,4,3,7,2.3005670517578816,1.165303494109915,1.493872927250342,0.32856943314042697,0.17854981999112735,1.4003257718127338,2.2901071123078354,1.9090765614624543,2.333229309563939,16.0,490.0,32.0,275.0,1,-1,True,True,
0.735,0.85,0.6,0.6,0.1,0.1,0.01,0.2,10,10.0,1.0,False,4,6,7,3,2.597193206335371,1.4593248945322723,1.7848601857278812,0.32553529119560887,0.1767632318028743,2.675104925981951,1.6085550479787172,2.8527626025332276,2.0887636308065316,490.0,16.0,275.0,32.0,-1,1,True,True,
0.85,0.735,0.6,0.6,0.1,0.1,0.2,0.01,10,10.0,1.0,False,6,4,3,7,2.597193206335371,1.4593248945322723,1.7848601857278812,0.32553529119560887,0.1767632318028743,1.6085550479787172,2.675104925981951,2.0887636308065316,2.8527626025332276,16.0,490.0,32.0,275.0,1,-1,True,True,
0.7,0.8,0.6,0.6,0.1,0.1,0.02,0.2,10,10.0,1.0,False,4,6,7,3,2.394041848285459,1.2040446032097885,1.514831680828583,0.31078707761879465,0.16811757026000976,2.3805693922370943,1.4003257718127338,2.3826469447661265,1.9090765614624543,245.0,16.0,137.0,32.0,-1,1,True,True,
0.8,0.7,0.6,0.6,0.1,0.1,0.2,0.02,10,10.0,1.0,False,6,4,3,7,2.394041848285459,1.2040446032097885,1.514831680828583,0.31078707761879465,0.16811757026000976,1.4003257718127338,2.3805693922370943,1.9090765614624543,2.3826469447661265,16.0,245.0,32.0,137.0,1,-1,True,True,
