alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.65,0.65,0.6,0.6,0.1,0.1,0.01,0.01,10,10.0,1.0,False,5,5,5,5,1.9428152514591317,1.6964607642676834,1.6964607642676834,0.0,0.0,2.335510232253862,2.335510232253862,2.335510232253862,2.335510232253862,390.0,390.0,390.0,390.0,0,0,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.01,0.02,10,10.0,1.0,False,5,5,5,5,1.9428152514591317,1.6340115525022458,1.6340115525022458,0.0,0.0,2.335510232253862,2.194120253178131,2.335510232253862,2.194120253178131,390.0,195.0,390.0,195.0,0,0,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.01,0.05,10,10.0,1.0,False,5,5,6,4,1.9428152514591317,1.5012300002283945,1.525404020101138,0.02417401987274359,0.012160353042709293,2.335510232253862,1.9212953463077722,2.3448547681615337,1.960462770310016,390.0,78.0,323.0,98.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.01,0.1,10,10.0,1.0,False,5,5,7,3,1.9428152514591317,1.341055288059104,1.4191493140849676,0.07809402602586357,0.03981936754243229,2.335510232253862,1.6369338788722716,2.333229309563939,1.7716229303925617,390.0,39.0,275.0,65.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.01,0.2,10,10.0,1.0,False,5,5,8,2,1.9428152514591317,1.0861629561792816,1.2960997536571532,0.20993679747787164,0.11067551105433464,2.335510232253862,1.268623651780401,2.3109983487117134,1.5815733408146029,390.0,19.0,240.0,49.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.02,0.01,10,10.0,1.0,False,5,5,5,5,1.9428152514591317,1.6340115525022458,1.6340115525022458,0.0,0.0,2.194120253178131,2.335510232253862,2.194120253178131,2.335510232253862,195.0,390.0,195.0,390.0,0,0,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.02,0.02,10,10.0,1.0,False,5,5,5,5,1.9428152514591317,1.5715623407368082,1.5715623407368082,0.0,0.0,2.194120253178131,2.194120253178131,2.194120253178131,2.194120253178131,195.0,195.0,195.0,195.0,0,0,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.02,0.05,10,10.0,1.0,False,5,5,6,4,1.9428152514591317,1.4387807884629569,1.4504020939088282,0.011621305445871366,0.005827567311198413,2.194120253178131,1.9212953463077722,2.1754195472678735,1.960462770310016,195.0,78.0,161.0,98.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.02,0.1,10,10.0,1.0,False,5,5,6,3,1.9428152514591317,1.2786060762936664,1.334450780864335,0.0558447045706687,0.028315834946862434,2.194120253178131,1.6369338788722716,2.160710235789028,1.757713471263672,195.0,39.0,153.0,62.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.02,0.2,10,10.0,1.0,False,5,5,7,2,1.9428152514591317,1.023713744413844,1.204352708020657,0.18063896360681309,0.09452390832498778,2.194120253178131,1.268623651780401,2.1224278900209432,1.5711251888631461,195.0,19.0,130.0,47.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.05,0.01,10,10.0,1.0,False,5,5,4,6,1.9428152514591317,1.5012300002283945,1.525404020101138,0.02417401987274359,0.012160353042709293,1.9212953463077722,2.335510232253862,1.960462770310016,2.3448547681615337,78.0,390.0,98.0,323.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.05,0.02,10,10.0,1.0,False,5,5,4,6,1.9428152514591317,1.4387807884629569,1.4504020939088282,0.011621305445871366,0.005827567311198413,1.9212953463077722,2.194120253178131,1.960462770310016,2.1754195472678735,78.0,195.0,98.0,161.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.05,0.05,10,10.0,1.0,False,5,5,4,4,1.9428152514591317,1.3059992361891055,1.3132978433656581,0.007298607176552618,0.0036559704038938877,1.9212953463077722,1.9212953463077722,1.9283195452310125,1.9283195452310125,78.0,78.0,88.0,88.0,0,0,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.05,0.1,10,10.0,1.0,False,5,5,4,3,1.9428152514591317,1.145824524019815,1.1902589499439786,0.04443442592416358,0.0224658531880616,1.9212953463077722,1.6369338788722716,1.910224147294711,1.7212286378806871,78.0,39.0,83.0,55.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.05,0.2,10,10.0,1.0,False,5,5,4,2,1.9428152514591317,0.8909321921399926,1.056957086930384,0.1660248947903913,0.08655533324769911,1.9212953463077722,1.268623651780401,1.8905138273068713,1.5221265885860873,78.0,19.0,78.0,39.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.1,0.01,10,10.0,1.0,False,5,5,3,7,1.9428152514591317,1.341055288059104,1.4191493140849676,0.07809402602586357,0.03981936754243229,1.6369338788722716,2.335510232253862,1.7716229303925617,2.333229309563939,39.0,390.0,65.0,275.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.1,0.02,10,10.0,1.0,False,5,5,3,6,1.9428152514591317,1.2786060762936664,1.334450780864335,0.0558447045706687,0.028315834946862434,1.6369338788722716,2.194120253178131,1.757713471263672,2.160710235789028,39.0,195.0,62.0,153.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.1,0.05,10,10.0,1.0,False,5,5,3,4,1.9428152514591317,1.145824524019815,1.1902589499439786,0.04443442592416358,0.0224658531880616,1.6369338788722716,1.9212953463077722,1.7212286378806871,1.910224147294711,39.0,78.0,55.0,83.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.1,0.1,10,10.0,1.0,False,5,5,3,3,1.9428152514591317,0.9856498118505247,1.0654151123999238,0.07976530054939912,0.040688642500147434,1.6369338788722716,1.6369338788722716,1.7035384962660851,1.7035384962660851,39.0,39.0,52.0,52.0,0,0,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.1,0.2,10,10.0,1.0,False,5,5,3,2,1.9428152514591317,0.7307574799707022,0.9279160493894953,0.19715856941879317,0.10360189968173214,1.6369338788722716,1.268623651780401,1.67761390438563,1.5076370544698354,39.0,19.0,48.0,37.0,0,1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.2,0.01,10,10.0,1.0,False,5,5,2,8,1.9428152514591317,1.0861629561792816,1.2960997536571532,0.20993679747787164,0.11067551105433464,1.268623651780401,2.335510232253862,1.5815733408146029,2.3109983487117134,19.0,390.0,49.0,240.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.2,0.02,10,10.0,1.0,False,5,5,2,7,1.9428152514591317,1.023713744413844,1.204352708020657,0.18063896360681309,0.09452390832498778,1.268623651780401,2.194120253178131,1.5711251888631461,2.1224278900209432,19.0,195.0,47.0,130.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.2,0.05,10,10.0,1.0,False,5,5,2,4,1.9428152514591317,0.8909321921399926,1.056957086930384,0.1660248947903913,0.08655533324769911,1.268623651780401,1.9212953463077722,1.5221265885860873,1.8905138273068713,19.0,78.0,39.0,78.0,0,-1,False,True,
0.65,0.65,0.6,0.6,0.1,0.1,0.2,0.1,10,10.0,1.0,False,5,5,2,3,1.9428152514591317,0.7307574799707022,0.9279160493894953,0.19715856941879317,0.10360189968173214,1.268623651780401,1.6369338788722716,1.5076370544698354,1.67761390438563,19.0,39.0,37.0,48.0,0,-1,False,True,
