alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.55,0.8,0.8,0.8,0.1,0.1,0.005,0.2,10,10.0,1.0,False,3,7,7,3,2.1283293085145445,0.9393666206270728,1.547349672600233,0.6079830519731602,0.35525757157016286,1.9910711180612373,1.2849166808163648,2.119341106106695,2.2171984317020397,1313.0,13.0,551.0,32.0,-1,1,True,True,
0.8,0.55,0.8,0.8,0.1,0.1,0.2,0.005,10,10.0,1.0,False,7,3,3,7,2.1283293085145445,0.9393666206270728,1.547349672600233,0.6079830519731602,0.35525757157016286,1.2849166808163648,1.9910711180612373,2.2171984317020397,2.119341106106695,13.0,1313.0,32.0,551.0,1,-1,True,True,
0.55,0.8,0.8,0.8,0.1,0.1,0.01,0.2,10,10.0,1.0,False,3,7,7,3,2.1283293085145445,0.9291146196266364,1.518623347172683,0.5895087275460467,0.3427964787120709,1.97076293260724,1.2849166808163648,2.059326352439506,2.2171984317020397,656.0,13.0,275.0,32.0,-1,1,True,True,
0.8,0.55,0.8,0.8,0.1,0.1,0.2,0.01,10,10.0,1.0,False,7,3,3,7,2.1283293085145445,0.9291146196266364,1.518623347172683,0.5895087275460467,0.3427964787120709,1.2849166808163648,1.97076293260724,2.2171984317020397,2.059326352439506,13.0,656.0,32.0,275.0,1,-1,True,True,
0.6,0.85,0.8,0.8,0.1,0.1,0.005,0.2,10,10.0,1.0,False,3,7,7,3,2.356480057859565,1.1558142718171964,1.7405095585698653,0.5846952867526689,0.339568628862245,2.144720477429173,1.4811296023466032,2.3539361370850633,2.421581113785148,1313.0,13.0,551.0,32.0,-1,1,True,True,
0.85,0.6,0.8,0.8,0.1,0.1,0.2,0.005,10,10.0,1.0,False,7,3,3,7,2.356480057859565,1.1558142718171964,1.7405095585698653,0.5846952867526689,0.339568628862245,1.4811296023466032,2.144720477429173,2.421581113785148,2.3539361370850633,13.0,1313.0,32.0,551.0,1,-1,True,True,
0.5,0.8,0.8,0.8,0.1,0.1,0.005,0.2,10,10.0,1.0,False,3,7,7,3,2.0543975423603786,0.866165657272024,1.4506220694454384,0.5844564121734144,0.3394086439702151,1.850529438015135,1.2849166808163648,1.9239447550019673,2.2171984317020397,1313.0,13.0,551.0,32.0,-1,1,True,True,
0.8,0.5,0.8,0.8,0.1,0.1,0.2,0.005,10,10.0,1.0,False,7,3,3,7,2.0543975423603786,0.866165657272024,1.4506220694454384,0.5844564121734144,0.3394086439702151,1.2849166808163648,1.850529438015135,2.2171984317020397,1.9239447550019673,13.0,1313.0,32.0,551.0,1,-1,True,True,
0.5,0.8,0.8,0.8,0.1,0.1,0.01,0.2,10,10.0,1.0,False,3,7,7,3,2.0543975423603786,0.8564557889741431,1.4249526677299684,0.5684968787558253,0.3287630068039563,1.8326479946114869,1.2849166808163648,1.8751867163155262,2.2171984317020397,656.0,13.0,275.0,32.0,-1,1,True,True,
0.8,0.5,0.8,0.8,0.1,0.1,0.2,0.01,10,10.0,1.0,False,7,3,3,7,2.0543975423603786,0.8564557889741431,1.4249526677299684,0.5684968787558253,0.3287630068039563,1.2849166808163648,1.8326479946114869,2.2171984317020397,1.8751867163155262,13.0,656.0,32.0,275.0,1,-1,True,True,
0.6,0.85,0.8,0.8,0.1,0.1,0.01,0.2,10,10.0,1.0,False,3,7,7,3,2.356480057859565,1.1451079014235424,1.70862264615165,0.5635147447281077,0.3254570884501014,2.121880788858512,1.4811296023466032,2.2800604745072786,2.421581113785148,656.0,13.0,275.0,32.0,-1,1,True,True,
