alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.5,0.5,0.8,0.8,0.1,0.1,0.005,0.005,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.306143754628001,1.306143754628001,0.0,0.0,1.9214341826258667,1.9214341826258667,1.9214341826258667,1.9214341826258667,780.0,780.0,780.0,780.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.005,0.01,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2882404083332708,1.2882404083332708,0.0,0.0,1.9214341826258667,1.8873401900233948,1.9214341826258667,1.8873401900233948,780.0,390.0,780.0,390.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.005,0.02,10,10.0,1.0,False,5,5,6,4,1.3547976471836123,1.2573113012543007,1.260456965144821,0.0031456638905202894,0.0015740694941579244,1.9214341826258667,1.8298599318298372,1.9262689552727252,1.831017854797355,780.0,195.0,646.0,245.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.005,0.05,10,10.0,1.0,False,5,5,7,3,1.3547976471836123,1.1800040908819454,1.2009437149578446,0.02093962407589922,0.010524812299884825,1.9214341826258667,1.6937283335565871,1.9239447550019673,1.7273113674434641,780.0,78.0,551.0,131.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.005,0.1,10,10.0,1.0,False,5,5,7,3,1.3547976471836123,1.0724255445980506,1.1406966125124245,0.06827106791437387,0.034724837576718695,1.9214341826258667,1.5209781799010023,1.9239447550019673,1.6263186673401444,780.0,39.0,551.0,65.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.005,0.2,10,10.0,1.0,False,5,5,8,2,1.3547976471836123,0.881896081339896,1.0661030806048668,0.18420699926497075,0.09647830130940016,1.9214341826258667,1.2571210227687608,1.9182997099826424,1.513861777525627,780.0,19.0,480.0,49.0,0,1,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.005,0.5,10,10.0,1.0,False,5,5,9,1,1.3547976471836123,-inf,0.9328422045582745,nan,nan,1.9214341826258667,nan,1.9110568044769307,1.3300091404660446,780.0,7.0,424.0,39.0,0,1,False,False,fanout
0.5,0.5,0.8,0.8,0.1,0.1,0.01,0.005,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2882404083332708,1.2882404083332708,0.0,0.0,1.8873401900233948,1.9214341826258667,1.8873401900233948,1.9214341826258667,390.0,780.0,390.0,780.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.01,0.01,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2703370620385404,1.2703370620385404,0.0,0.0,1.8873401900233948,1.8873401900233948,1.8873401900233948,1.8873401900233948,390.0,390.0,390.0,390.0,0,0,False,True,
0.5,0.5,0.8,0.8,0.1,0.1,0.01,0.02,10,10.0,1.0,False,5,5,5,5,1.3547976471836123,1.2394079549595702,1.2394079549595702,0.0,0.0,1.8873401900233948,1.8298599318298372,1.8873401900233948,1.8298599318298372,390.0,195.0,390.0,195.0,0,0,False,True,
