n,alpha_spread,capacity,sum_kstar,rho,capped_sum_mu,capped_total_k,capped_idle,capped_overcommit,capped_pf,greedy_sum_mu,greedy_total_k,greedy_idle,greedy_overcommit,greedy_pf,gs_sum_mu,gs_total_k,gs_idle,gs_overcommit,gs_pf,gap_capped_vs_greedy_pct,gap_capped_vs_gs_pct
2,0.0,5,10,2.0,4.733327323629397,5,0,0,1.7183204584832208,4.733327323629397,5,0,0,1.7183204584832208,4.733327323629397,5,0,0,1.7183204584832208,0.0,0.0
2,0.0,7,10,1.4285714285714286,5.238197574459012,7,0,0,1.9244426275655127,5.238197574459012,7,0,0,1.9244426275655127,5.238197574459012,7,0,0,1.9244426275655127,0.0,0.0
2,0.0,8,10,1.25,5.42094984002446,8,0,0,1.994247733549183,5.42094984002446,8,0,0,1.994247733549183,5.42094984002446,8,0,0,1.994247733549183,0.0,0.0
2,0.0,10,10,1.0,5.530383642540653,10,0,0,2.034220014698582,5.530383642540653,10,0,0,2.034220014698582,5.530383642540653,10,0,0,2.034220014698582,0.0,0.0
2,0.0,12,10,0.8333333333333334,5.530383642540653,10,2,0,2.034220014698582,5.3213846155334,12,0,2,1.9571727100159488,5.3213846155334,12,0,2,1.9571727100159488,3.927530936162248,3.927530936162248
2,0.0,15,10,0.6666666666666666,5.530383642540653,10,5,0,2.034220014698582,2.1491203371467518,15,0,5,-19.95820722404284,2.1491203371467518,15,0,5,-19.95820722404284,157.3324325748546,157.3324325748546
2,0.0,20,10,0.5,5.530383642540653,10,10,0,2.034220014698582,2.1491203371467518,20,0,10,-19.95820722404284,0.0,20,0,10,-41.44653167389282,157.3324325748546,nan
2,0.1,4,9,2.25,4.564812674284171,4,0,0,1.5606421337723422,4.564812674284171,4,0,0,1.5606421337723422,4.564812674284171,4,0,0,1.5606421337723422,0.0,0.0
2,0.1,6,9,1.5,5.27352395944348,6,0,0,1.8743156362784528,5.27352395944348,6,0,0,1.8743156362784528,5.095836713416727,6,0,0,1.7260931166105387,0.0,3.486910119371057
2,0.1,7,9,1.2857142857142858,5.47110212027094,7,0,0,1.9696000786276082,5.47110212027094,7,0,0,1.9696000786276082,5.45872640571088,7,0,0,1.9289647034492963,0.0,0.22671432199115546
2,0.1,9,9,1.0,5.740559673540727,9,0,0,2.0622741808511735,5.740559673540727,9,0,0,2.0622741808511735,4.770382885449165,9,0,2,1.70873642602555,0.0,20.337503537731504
2,0.1,11,9,0.8181818181818182,5.740559673540727,9,2,0,2.0622741808511735,5.693569753592619,11,0,2,2.047925899882416,2.1739192878044378,11,0,3,-19.946734175061497,0.8253156100960791,164.064986485236
2,0.1,13,9,0.6923076923076923,5.740559673540727,9,4,0,2.0622741808511735,5.211483911168856,13,0,4,1.807179753931452,2.1739192878044378,13,0,5,-19.946734175061497,10.152113512966935,164.064986485236
2,0.1,18,9,0.5,5.740559673540727,9,9,0,2.0622741808511735,2.7940417584721873,18,0,9,-19.695776630456617,2.2531707460178287,18,0,9,-19.910927392296983,105.4571896119308,154.77694860393433
2,0.18,5,10,2.0,5.436966829892795,5,0,0,1.7899068342087678,5.436966829892795,5,0,0,1.7899068342087678,5.436966829892795,5,0,0,1.7899068342087678,0.0,0.0
2,0.18,7,10,1.4285714285714286,6.0983244215250165,7,0,0,2.048668846706757,6.0983244215250165,7,0,0,2.048668846706757,5.950463400610692,7,0,0,1.9135310184246765,0.0,2.484865647592243
2,0.18,8,10,1.25,6.223993632166449,8,0,0,2.0775411278663642,6.223993632166449,8,0,0,2.0775411278663642,5.311360846039384,8,0,1,1.757189148586661,0.0,17.182654550906744
2,0.18,10,10,1.0,6.385630497627661,10,0,0,2.163156970359577,6.385630497627661,10,0,0,2.163156970359577,1.5347361458722164,10,0,3,-20.294907362622286,0.0,316.07350649831733
2,0.18,12,10,0.8333333333333334,6.385630497627661,10,2,0,2.163156970359577,6.266300377194139,12,0,2,2.100667931135918,1.5347361458722164,12,0,5,-20.294907362622286,1.9043153575563827,316.07350649831733
2,0.18,15,10,0.6666666666666666,6.385630497627661,10,5,0,2.163156970359577,3.7766247001671673,15,0,5,-19.394435162683873,1.8082663774279728,15,0,7,-20.1308972531806,69.08300412654212,253.13549913538745
2,0.18,20,10,0.5,6.385630497627661,10,10,0,2.163156970359577,3.7766247001671673,20,0,10,-19.394435162683873,1.8082663774279728,20,0,12,-20.1308972531806,69.08300412654212,253.13549913538745
3,0.0,8,15,1.875,7.26104997807618,8,0,0,2.645639219274142,7.26104997807618,8,0,0,2.645639219274142,7.26104997807618,8,0,0,2.645639219274142,0.0,0.0
3,0.0,10,15,1.5,7.765920228905795,10,0,0,2.851761388356434,7.765920228905795,10,0,0,2.851761388356434,7.765920228905795,10,0,0,2.851761388356434,0.0,0.0
3,0.0,12,15,1.25,8.13142476003669,12,0,0,2.9913716003237747,8.13142476003669,12,0,0,2.9913716003237747,8.13142476003669,12,0,0,2.9913716003237747,0.0,0.0
3,0.0,15,15,1.0,8.29557546381098,15,0,0,3.051330022047873,8.29557546381098,15,0,0,3.051330022047873,8.29557546381098,15,0,0,3.051330022047873,0.0,0.0
3,0.0,19,15,0.7894736842105263,8.29557546381098,15,4,0,3.051330022047873,7.470504952680152,19,0,4,2.722231322919519,7.470504952680152,19,0,4,2.722231322919519,11.044374059812684,11.044374059812684
3,0.0,22,15,0.6818181818181818,8.29557546381098,15,7,0,3.051330022047873,4.2982406742935035,22,0,7,-19.19314861113927,4.2982406742935035,22,0,7,-19.19314861113927,92.99932443114096,92.99932443114096
3,0.0,30,15,0.5,8.29557546381098,15,15,0,3.051330022047873,4.2982406742935035,30,0,15,-19.19314861113927,0.0,30,0,15,-62.16979751083923,92.99932443114096,nan
3,0.1,7,14,2.0,7.133307035760938,7,0,0,2.5545154183033993,7.133307035760938,7,0,0,2.5545154183033993,7.116238936331941,7,0,0,2.4624457471319947,0.0,0.23984719430731216
3,0.1,9,14,1.5555555555555556,7.801246613890262,9,0,0,2.801634397069374,7.801246613890262,9,0,0,2.801634397069374,7.664331074893495,9,0,0,2.719966401141596,0.0,1.786399069388713
3,0.1,11,14,1.2727272727272727,8.184027220985122,11,0,0,2.9515679065893727,8.184027220985122,11,0,0,2.9515679065893727,7.94446278899855,11,0,1,2.844153435559665,0.0,3.0154893836033816
3,0.1,14,14,1.0,8.505751494811054,14,0,0,3.0793841882004647,8.505751494811054,14,0,0,3.0793841882004647,7.678435966288855,14,0,2,2.801144735149297,0.0,10.774531846777363
3,0.1,18,14,0.7777777777777778,8.505751494811054,14,4,0,3.0793841882004647,8.24715067174416,18,0,4,2.9778071131548804,4.939111109074764,18,0,5,-18.929624167712205,3.135638396336023,72.21219176833671
3,0.1,21,14,0.6666666666666666,8.505751494811054,14,7,0,3.0793841882004647,6.714246999213005,21,0,7,2.364140118091828,4.918866702573526,21,0,7,-18.9301227850008,26.682135700519158,72.9209594226428
3,0.1,28,14,0.5,8.505751494811054,14,14,0,3.0793841882004647,4.9431620956189395,28,0,14,-18.930718017553048,2.2531707460178287,28,0,14,-40.634193229243394,72.07106160547703,277.50141705167295
3,0.18,8,15,1.875,8.030398859151875,8,0,0,2.675660434957369,8.030398859151875,8,0,0,2.675660434957369,7.662721662729889,8,0,0,2.451344138808487,0.0,4.798258537959197
3,0.18,10,15,1.5,8.626047075971798,10,0,0,2.975987607497678,8.626047075971798,10,0,0,2.975987607497678,7.516965515221999,10,0,1,2.5481908462789606,0.0,14.754378725083772
3,0.18,12,15,1.25,8.934468552178679,12,0,0,3.0746649946409557,8.934468552178679,12,0,0,3.0746649946409557,3.7403408150548314,12,0,3,-19.503905664929988,0.0,138.86776617300592
3,0.18,15,15,1.0,9.150822318897987,15,0,0,3.180266977708868,9.150822318897987,15,0,0,3.180266977708868,4.062458800318999,15,0,5,-19.367588601831365,0.0,125.25329532399027
3,0.18,19,15,0.7894736842105263,9.150822318897987,15,4,0,3.180266977708868,8.640056438680155,19,0,4,2.9107733379158343,4.518741297440203,19,0,7,-19.13377338640601,5.911603516051292,102.50821449065444
3,0.18,22,15,0.6818181818181818,9.150822318897987,15,7,0,3.180266977708868,5.925745037313919,22,0,7,-18.629376549780304,4.518741297440203,22,0,10,-19.13377338640601,54.424840442442715,102.50821449065444
3,0.18,30,15,0.5,9.150822318897987,15,15,0,3.180266977708868,5.925745037313919,30,0,15,-18.629376549780304,4.593864845097681,30,0,16,-19.085517026859062,54.424840442442715,99.19659431563905
5,0.0,12,25,2.0833333333333335,11.672259316441409,12,0,0,4.227642614658741,11.672259316441409,12,0,0,4.227642614658741,11.672259316441409,12,0,0,4.227642614658741,0.0,0.0
5,0.0,17,25,1.4705882352941178,13.004117803364807,17,0,0,4.776204015921946,13.004117803364807,17,0,0,4.776204015921946,13.004117803364807,17,0,0,4.776204015921946,0.0,0.0
5,0.0,20,25,1.25,13.55237460006115,20,0,0,4.9856193338729575,13.55237460006115,20,0,0,4.9856193338729575,13.55237460006115,20,0,0,4.9856193338729575,0.0,0.0
5,0.0,25,25,1.0,13.825959106351632,25,0,0,5.085550036746454,13.825959106351632,25,0,0,5.085550036746454,13.825959106351632,25,0,0,5.085550036746454,0.0,0.0
5,0.0,31,25,0.8064516129032258,13.825959106351632,25,6,0,5.085550036746454,12.791889568213552,31,0,6,4.679404032935468,12.791889568213552,31,0,6,4.679404032935468,8.08379037845691,8.08379037845691
5,0.0,37,25,0.6756756756756757,13.825959106351632,25,12,0,5.085550036746454,8.596481348587007,37,0,12,-17.663031385332133,6.447361011440256,37,0,12,-39.1513558351821,60.83277035928413,114.44369381237883
5,0.0,50,25,0.5,13.825959106351632,25,25,0,5.085550036746454,8.596481348587007,50,0,25,-17.663031385332133,0.0,50,0,25,-103.61632918473205,60.83277035928413,nan
5,0.1,12,24,2.0,11.951407373099428,12,0,0,4.295086774601731,11.951407373099428,12,0,0,4.295086774601731,11.934339273670432,12,0,0,4.203017103430326,0.0,0.14301671033144128
5,0.1,16,24,1.5,13.128389399473576,16,0,0,4.746372554149498,13.128389399473576,16,0,0,4.746372554149498,13.058896882381244,16,0,0,4.6859385026566525,0.0,0.5321469165292945
5,0.1,19,24,1.263157894736842,13.693922272133884,19,0,0,4.966111169653167,13.693922272133884,19,0,0,4.966111169653167,13.379555705693342,19,0,1,4.824426408489209,0.0,2.3496039282288814
5,0.1,24,24,1.0,14.086551278190898,24,0,0,5.119990026926879,14.086551278190898,24,0,0,5.119990026926879,10.234362764161766,24,0,4,-16.997252416899773,0.0,37.639749565244585
5,0.1,30,24,0.8,14.086551278190898,24,6,0,5.119990026926879,13.632938362694622,30,0,6,4.945337505532779,9.916130572214838,30,0,7,-17.102471728904334,3.3273304949250635,42.0569361769161
5,0.1,36,24,0.6666666666666666,14.086551278190898,24,12,0,5.119990026926879,9.30449513242473,36,0,12,-17.38385982674337,6.895930351215659,36,0,12,-38.955181747822664,51.39511685165421,104.27339837774942
5,0.1,48,24,0.5,14.086551278190898,24,24,0,5.119990026926879,9.30449513242473,48,0,24,-17.38385982674337,4.084619300819852,48,0,24,-60.74421880718086,51.39511685165421,244.86815638763426
5,0.18,12,24,2.0,12.55910435253109,12,0,0,4.226697027819041,12.55910435253109,12,0,0,4.226697027819041,12.191427156109103,12,0,0,4.002380731670158,0.0,3.0158667374536563
5,0.18,16,24,1.5,13.855434197186085,16,0,0,4.841101348364321,13.855434197186085,16,0,0,4.841101348364321,8.59474623672934,16,0,2,-17.846617402002405,0.0,61.208182482170116
5,0.18,19,24,1.263157894736842,14.413815478244835,19,0,0,5.060542926156884,14.413815478244835,19,0,0,5.060542926156884,8.969727936269118,19,0,4,-17.638791924063344,0.0,60.69400968074556
5,0.18,24,24,1.0,14.847746909060982,24,0,0,5.235826118977597,14.847746909060982,24,0,0,5.235826118977597,9.406049175984526,24,0,7,-17.46774010859697,0.0,57.853171201466495
5,0.18,30,24,0.8,14.847746909060982,24,6,0,5.235826118977597,14.461510860401027,30,0,6,5.07035523426667,10.0705643631331,30,0,10,-17.134798919703655,2.67078628497634,47.43708866423084
5,0.18,36,24,0.6666666666666666,14.847746909060982,24,12,0,5.235826118977597,10.437066481383576,36,0,12,-17.0438179446747,6.779981833841269,36,0,15,-39.04563482150873,42.259771321229614,118.99390400945717
5,0.18,48,24,0.5,14.847746909060982,24,24,0,5.235826118977597,10.437066481383576,48,0,24,-17.0438179446747,6.892296933696056,48,0,25,-38.97655567394328,42.259771321229614,115.42523562023531
