n,alpha_spread,capacity,sum_kstar,rho,regime,all_clients_concave,greedy_obj,dp_obj,milp_obj,greedy_minus_dp,dp_minus_milp,greedy_is_optimal,alloc_matches_dp,greedy_alloc,dp_alloc
2,0.0,2,10,5.0,binding,True,3.424516524238393,3.424516524238393,3.424516524238393,0.0,0.0,True,True,1|1,1|1
2,0.0,3,10,3.3333333333333335,binding,True,3.917862931301811,3.917862931301811,3.917862931301811,0.0,0.0,True,True,2|1,2|1
2,0.0,4,10,2.5,binding,True,4.4112093383652295,4.4112093383652295,4.4112093383652295,0.0,0.0,True,True,2|2,2|2
2,0.0,5,10,2.0,binding,True,4.733327323629397,4.733327323629397,4.733327323629397,0.0,0.0,True,True,3|2,3|2
2,0.0,6,10,1.6666666666666667,binding,True,5.055445308893565,5.055445308893565,5.055445308893565,0.0,0.0,True,True,3|3,3|3
2,0.0,7,10,1.4285714285714286,binding,True,5.238197574459012,5.238197574459012,5.238197574459012,0.0,0.0,True,True,4|3,4|3
2,0.0,8,10,1.25,binding,True,5.42094984002446,5.42094984002446,5.420949840024459,0.0,8.881784197001252e-16,True,True,4|4,4|4
2,0.0,9,10,1.1111111111111112,binding,True,5.475666741282557,5.475666741282557,5.475666741282557,0.0,0.0,True,True,5|4,5|4
2,0.0,10,10,1.0,slack,True,5.530383642540653,5.530383642540653,5.530383642540654,0.0,-8.881784197001252e-16,True,True,5|5,5|5
2,0.0,11,10,0.9090909090909091,slack,True,5.530383642540653,5.530383642540653,5.530383642540651,0.0,1.7763568394002505e-15,True,True,5|5,5|5
2,0.0,12,10,0.8333333333333334,slack,True,5.530383642540653,5.530383642540653,5.530383642540653,0.0,0.0,True,True,5|5,5|5
2,0.0,13,10,0.7692307692307693,slack,True,5.530383642540653,5.530383642540653,5.530383642540653,0.0,0.0,True,True,5|5,5|5
2,0.0,14,10,0.7142857142857143,slack,True,5.530383642540653,5.530383642540653,5.530383642540653,0.0,0.0,True,True,5|5,5|5
2,0.1,2,9,4.5,binding,True,3.425193073174353,3.425193073174353,3.425193073174353,0.0,0.0,True,True,1|1,1|1
2,0.1,3,9,3.0,binding,True,4.071341837015579,4.071341837015579,4.071341837015579,0.0,0.0,True,True,1|2,1|2
2,0.1,4,9,2.25,binding,True,4.564812674284171,4.564812674284171,4.564812674284171,0.0,0.0,True,True,1|3,1|3
2,0.1,5,9,1.8,binding,True,4.927702366578323,4.927702366578323,4.927702366578323,0.0,0.0,True,True,2|3,2|3
2,0.1,6,9,1.5,binding,True,5.27352395944348,5.27352395944348,5.27352395944348,0.0,0.0,True,True,2|4,2|4
2,0.1,7,9,1.2857142857142858,binding,True,5.47110212027094,5.47110212027094,5.47110212027094,0.0,0.0,True,True,3|4,3|4
2,0.1,8,9,1.125,binding,True,5.65630456653834,5.65630456653834,5.65630456653834,0.0,0.0,True,True,3|5,3|5
2,0.1,9,9,1.0,slack,True,5.740559673540727,5.740559673540727,5.740559673540728,0.0,-8.881784197001252e-16,True,True,4|5,4|5
2,0.1,10,9,0.9,slack,True,5.740559673540727,5.740559673540727,5.740559673540727,0.0,0.0,True,True,4|5,4|5
2,0.1,11,9,0.8181818181818182,slack,True,5.740559673540727,5.740559673540727,5.740559673540727,0.0,0.0,True,True,4|5,4|5
2,0.1,12,9,0.75,slack,True,5.740559673540727,5.740559673540727,5.740559673540727,0.0,0.0,True,True,4|5,4|5
2,0.1,13,9,0.6923076923076923,slack,True,5.740559673540727,5.740559673540727,5.740559673540727,0.0,0.0,True,True,4|5,4|5
2,0.18,2,10,5.0,binding,True,3.4269044094135483,3.4269044094135483,3.4269044094135483,0.0,0.0,True,True,1|1,1|1
2,0.18,3,10,3.3333333333333335,binding,True,4.213599346806344,4.213599346806344,4.213599346806344,0.0,0.0,True,True,1|2,1|2
2,0.18,4,10,2.5,binding,True,4.888341078586933,4.888341078586933,4.888341078586933,0.0,0.0,True,True,1|3,1|3
2,0.18,5,10,2.0,binding,True,5.436966829892795,5.436966829892795,5.436966829892795,0.0,0.0,True,True,1|4,1|4
2,0.18,6,10,1.6666666666666667,binding,True,5.82479418996926,5.82479418996926,5.824794189969261,0.0,-8.881784197001252e-16,True,True,1|5,1|5
2,0.18,7,10,1.4285714285714286,binding,True,6.0983244215250165,6.0983244215250165,6.0983244215250165,0.0,0.0,True,True,2|5,2|5
2,0.18,8,10,1.25,binding,True,6.223993632166449,6.223993632166449,6.223993632166449,0.0,0.0,True,True,2|6,2|6
2,0.18,9,10,1.1111111111111112,binding,True,6.3488997920694565,6.3488997920694565,6.3488997920694565,0.0,0.0,True,True,3|6,3|6
2,0.18,10,10,1.0,slack,True,6.385630497627661,6.385630497627661,6.385630497627661,0.0,0.0,True,True,4|6,4|6
2,0.18,11,10,0.9090909090909091,slack,True,6.385630497627661,6.385630497627661,6.385630497627661,0.0,0.0,True,True,4|6,4|6
2,0.18,12,10,0.8333333333333334,slack,True,6.385630497627661,6.385630497627661,6.385630497627661,0.0,0.0,True,True,4|6,4|6
2,0.18,13,10,0.7692307692307693,slack,True,6.385630497627661,6.385630497627661,6.385630497627661,0.0,0.0,True,True,4|6,4|6
2,0.18,14,10,0.7142857142857143,slack,True,6.385630497627661,6.385630497627661,6.385630497627661,0.0,0.0,True,True,4|6,4|6
3,0.0,3,15,5.0,binding,True,5.13677478635759,5.13677478635759,5.13677478635759,0.0,0.0,True,True,1|1|1,1|1|1
3,0.0,4,15,3.75,binding,True,5.630121193421008,5.630121193421008,5.630121193421008,0.0,0.0,True,True,2|1|1,2|1|1
3,0.0,5,15,3.0,binding,True,6.123467600484426,6.123467600484426,6.123467600484426,0.0,0.0,True,True,2|2|1,2|2|1
3,0.0,6,15,2.5,binding,True,6.616814007547845,6.616814007547845,6.616814007547845,0.0,0.0,True,True,2|2|2,2|2|2
3,0.0,7,15,2.142857142857143,binding,True,6.938931992812012,6.938931992812012,6.938931992812012,0.0,0.0,True,True,3|2|2,3|2|2
3,0.0,8,15,1.875,binding,True,7.26104997807618,7.26104997807618,7.261049978076179,0.0,8.881784197001252e-16,True,True,3|3|2,3|3|2
3,0.0,9,15,1.6666666666666667,binding,True,7.5831679633403475,7.5831679633403475,7.5831679633403475,0.0,0.0,True,True,3|3|3,3|3|3
3,0.0,10,15,1.5,binding,True,7.765920228905795,7.765920228905795,7.765920228905795,0.0,0.0,True,True,4|3|3,4|3|3
3,0.0,11,15,1.3636363636363635,binding,True,7.948672494471243,7.948672494471243,7.948672494471243,0.0,0.0,True,True,4|4|3,4|4|3
3,0.0,12,15,1.25,binding,True,8.13142476003669,8.13142476003669,8.13142476003669,0.0,0.0,True,True,4|4|4,4|4|4
3,0.0,13,15,1.1538461538461537,binding,True,8.186141661294787,8.186141661294787,8.186141661294785,0.0,1.7763568394002505e-15,True,True,5|4|4,5|4|4
3,0.0,14,15,1.0714285714285714,binding,True,8.240858562552884,8.240858562552884,8.240858562552884,0.0,0.0,True,True,5|5|4,5|5|4
3,0.0,15,15,1.0,slack,True,8.29557546381098,8.29557546381098,8.295575463810982,0.0,-1.7763568394002505e-15,True,True,5|5|5,5|5|5
3,0.0,16,15,0.9375,slack,True,8.29557546381098,8.29557546381098,8.29557546381098,0.0,0.0,True,True,5|5|5,5|5|5
3,0.0,17,15,0.8823529411764706,slack,True,8.29557546381098,8.29557546381098,8.295575463810971,0.0,8.881784197001252e-15,True,True,5|5|5,5|5|5
3,0.0,18,15,0.8333333333333334,slack,True,8.29557546381098,8.29557546381098,8.29557546381098,0.0,0.0,True,True,5|5|5,5|5|5
3,0.0,19,15,0.7894736842105263,slack,True,8.29557546381098,8.29557546381098,8.29557546381098,0.0,0.0,True,True,5|5|5,5|5|5
