"Name","State","Notes","User","Tags","Created","Runtime","Sweep","all_mode","alpaca_mode","async_speculative","b","block_size","c4_mode","draft_model","eager","example_mode","f","gpus","humaneval_mode","implementation","input_len","jit_speculative","k","llama","max_model_len","model_size","numseqs","output_len","random_mode","speculative_decoding","ultrafeedback_mode","metrics_avg_accepted_suffix_lens_on_hit","metrics_avg_accepted_suffix_lens_with_recovery","metrics_avg_cache_hits","metrics_avg_target_step_time_ms","metrics_decode_throughput","metrics_prefill_throughput","mode","model_name","official_end_to_end_throughput","official_total_time","official_total_tokens","run_name","sequences_processed","total_sequences","metrics_decode_total_time","metrics_decode_total_tokens","metrics_prefill_total_time","metrics_prefill_total_tokens","metrics_avg_accepted_suffix_lens_on_miss","metrics_avg_target_verify_time_ms"
"async_k8_f4_r3","finished","-","","","2026-03-16T15:16:54.000Z","55","","false","false","true","1","256","false","0.6","false","false","4","2","false","ssd","128","true","8","false","8192","8","32","128","true","true","false","5.552870090634441","4.901524032825322","0.776084407971864","56.06625602521718","90.86994753523354","2197.623483669324","CUDA Graphs + Speculative(k=8) + Async + JIT","Qwen3-8B","85.49723915219516","47.90797972679138","4096","async_k8_f4_r3","32","32","46.01081120222807","4181","1.8638315573334696","4096","2.643979057591623","31.471626586329897"
"async_k8_f4_r2","finished","-","","","2026-03-16T15:08:40.000Z","61","","false","false","true","1","256","false","0.6","false","false","4","2","false","ssd","128","true","8","false","8192","8","32","128","true","true","false","5.552870090634441","4.901524032825322","0.776084407971864","56.71744825061088","90.46110063738868","1851.77437649673","CUDA Graphs + Speculative(k=8) + Async + JIT","Qwen3-8B","84.5215042498159","48.461040019989014","4096","async_k8_f4_r2","32","32","46.21876110881567","4181","2.2119325399398804","4096","2.643979057591623","31.509230059657817"
"async_k8_f4_r1","finished","-","","","2026-03-16T15:00:06.000Z","59","","false","false","true","1","256","false","0.6","false","false","4","2","false","ssd","128","true","8","false","8192","8","32","128","true","true","false","5.552870090634441","4.901524032825322","0.776084407971864","56.48613958434143","90.69822983690224","1918.3046796358465","CUDA Graphs + Speculative(k=8) + Async + JIT","Qwen3-8B","84.86696223844908","48.26377534866333","4096","async_k8_f4_r1","32","32","46.09792283177376","4181","2.1352186873555183","4096","2.643979057591623","31.542737434365964"
"async_k8_f3_r3","finished","-","","","2026-03-16T14:51:53.000Z","57","","false","false","true","1","256","false","0.6","false","false","3","2","false","ssd","128","true","8","false","8192","8","32","128","true","true","false","5.614906832298137","4.884345794392523","0.7523364485981309","52.91069149449381","96.40400926035257","2080.5588006891994","CUDA Graphs + Speculative(k=8) + Async + JIT","Qwen3-8B","90.2758282490656","45.37205672264099","4096","async_k8_f3_r3","32","32","43.369565561413765","4181","1.968701869249344","4096","2.6650943396226414","31.539744601767755"
"async_k8_f3_r2","finished","-","","","2026-03-16T14:43:47.000Z","56","","false","false","true","1","256","false","0.6","false","false","3","2","false","ssd","128","true","8","false","8192","8","32","128","true","true","false","5.614906832298137","4.884345794392523","0.7523364485981309","53.04335736720676","96.65387469672623","1866.240561197366","CUDA Graphs + Speculative(k=8) + Async + JIT","Qwen3-8B","90.05562273900611","45.48300123214722","4096","async_k8_f3_r2","32","32","43.25744842737913","4181","2.1947867199778557","4096","2.6650943396226414","31.532080382735373"
"async_k8_f3_r1","finished","-","","","2026-03-16T14:35:36.000Z","56","","false","false","true","1","256","false","0.6","false","false","3","2","false","ssd","128","true","8","false","8192","8","32","128","true","true","false","5.614906832298137","4.884345794392523","0.7523364485981309","52.642807338382426","96.72732131188278","2173.706220924442","CUDA Graphs + Speculative(k=8) + Async + JIT","Qwen3-8B","90.73925577895018","45.14033055305481","4096","async_k8_f3_r1","32","32","43.2246023491025","4181","1.8843392729759216","4096","2.6650943396226414","31.500327818652735"
"async_k6_f4_r3","finished","-","","","2026-03-16T14:30:50.000Z","46","","false","false","true","1","256","false","0.6","false","false","4","2","false","ssd","128","true","6","false","8192","8","32","128","true","true","false","4.799479166666667","4.336108220603538","0.7991675338189386","40.650542748011574","111.4782321075817","2380.8149214761843","CUDA Graphs + Speculative(k=6) + Async + JIT","Qwen3-8B","104.67411682750075","39.13097262382507","4096","async_k6_f4_r3","32","32","37.379494823515415","4167","1.7204193249344826","4096","2.4922279792746114","31.304491693531933"
"async_k6_f4_r2","finished","-","","","2026-03-16T14:26:06.000Z","46","","false","false","true","1","256","false","0.6","false","false","4","2","false","ssd","128","true","6","false","8192","8","32","128","true","true","false","4.799479166666667","4.336108220603538","0.7991675338189386","40.6406074994691","111.75258410942992","2272.790968368587","CUDA Graphs + Speculative(k=6) + Async + JIT","Qwen3-8B","104.69557745937512","39.12295150756836","4096","async_k6_f4_r2","32","32","37.28772836178541","4167","1.8021894916892052","4096","2.4922279792746114","31.34675421650278"
"async_k6_f4_r1","finished","-","","","2026-03-16T14:21:16.000Z","50","","false","false","true","1","256","false","0.6","false","false","4","2","false","ssd","128","true","6","false","8192","8","32","128","true","true","false","4.799479166666667","4.336108220603538","0.7991675338189386","40.61464349625017","112.24981038309096","2108.372546620485","CUDA Graphs + Speculative(k=6) + Async + JIT","Qwen3-8B","104.7627093089346","39.09788155555725","4096","async_k6_f4_r1","32","32","37.122557140886784","4167","1.9427306652069092","4096","2.4922279792746114","31.377913691995047"
"async_k6_f3_r3","finished","-","","","2026-03-16T14:16:25.000Z","47","","false","false","true","1","256","false","0.6","false","false","3","2","false","ssd","128","true","6","false","8192","8","32","128","true","true","false","4.851206434316354","4.336108220603538","0.7762747138397502","40.51132511788991","112.41839931162528","2156.4042712976493","CUDA Graphs + Speculative(k=6) + Async + JIT","Qwen3-8B","105.03762887987452","38.99554896354675","4096","async_k6_f3_r3","32","32","37.06688607484102","4167","1.8994583040475843","4096","2.5488372093023255","31.27602680075553"
